Accession	Title	TFOE	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1427048	TFOE_4936_3849	Rv3849	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427048/suppl		Tige Rustad	4-Jul-14
GSM1427049	TFOE_8192_3849	Rv3849	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427049/suppl		Tige Rustad	4-Jul-14
GSM1427050	TFOE_2894_3852	Rv3852	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427050/suppl		Tige Rustad	4-Jul-14
GSM1427051	TFOE_6704_3852	Rv3852	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427051/suppl		Tige Rustad	4-Jul-14
GSM1427052	TFOE_8311_3852	Rv3852	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427052/suppl		Tige Rustad	4-Jul-14
GSM1427053	TFOE_1176_3855	Rv3855	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427053/suppl		Tige Rustad	4-Jul-14
GSM1427054	TFOE_3194_3855	Rv3855	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427054/suppl		Tige Rustad	4-Jul-14
GSM1427055	TFOE_9032_3855	Rv3855	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427055/suppl		Tige Rustad	4-Jul-14
GSM1427056	TFOE_2656_3862c	Rv3862	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427056/suppl		Tige Rustad	4-Jul-14
GSM1427057	TFOE_4985_3862c_A	Rv3862	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427057/suppl		Tige Rustad	4-Jul-14
GSM1427058	TFOE_6830_3862c	Rv3862	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427058/suppl		Tige Rustad	4-Jul-14
GSM1427059	TFOE_7945_3862c_B	Rv3862	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427059/suppl		Tige Rustad	4-Jul-14
GSM1427060	TFOE_2756_3911	Rv3911	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427060/suppl		Tige Rustad	4-Jul-14
GSM1427061	TFOE_8127_3911	Rv3911	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427061/suppl		Tige Rustad	4-Jul-14
