,Eigenvector Centrality
Rv2202c,5.418599043811348e-05
Rv2205c,1.0328370844785498e-06
Rv2207,6.087188854111438e-09
Rv2208,6.087188854111438e-09
Rv2210c,0.0006100149636280085
Rv2211c,3.0230167289392144e-05
Rv2212,8.105068577493497e-05
Rv2215,0.00014917469992974206
Rv2220,8.73138519879883e-06
Rv2222c,8.73138519879883e-06
Rv2225,0.0016214182156565162
Rv2228c,6.087188854111438e-09
Rv2231c,2.1586111597804418e-11
Rv2236c,7.17409785097841e-10
Rv2241,0.00014917469992974206
Rv2243,0.00010140860038783232
Rv2245,0.08029718073360083
Rv2246,0.08029718073360083
Rv2247,1.5297844172076557e-05
Rv2249c,4.8773762083767825e-06
Rv2252,3.236929966233255e-05
Rv2259,1.4924861962575612e-09
Rv2267c,0.08450626843409105
Rv2277c,3.0373042688102075e-05
Rv2281,0.00018536208800201977
Rv2284,2.1586111597804418e-11
Rv2285,2.1586111597804418e-11
Rv2287,2.2333259889608762e-07
Rv2289,0.00019180723394735512
Rv2291,2.1586111597804418e-11
Rv2294,3.312290544360657e-05
Rv2298,4.677327902579023e-05
Rv2316,0.0011604641644848814
Rv2317,0.0011604641644848814
Rv2318,0.0011604641644848814
Rv2320c,0.00017664365801725842
Rv2321c,4.0773613717932754e-05
Rv2322c,4.0773613717932754e-05
Rv2329c,3.4217869153521087e-06
Rv2332,1.5081497678768735e-06
Rv2334,0.0009592094976956539
Rv2335,0.0009592094976956539
Rv2344c,4.455911945412226e-05
Rv2349c,2.1586111597804418e-11
Rv2350c,2.1586111597804418e-11
Rv2351c,2.1586111597804418e-11
Rv2357c,2.1586111597804418e-11
Rv2361c,0.0038415149470763083
Rv2363,2.1586111597804418e-11
Rv2377c,3.4634517264209736e-06
Rv2378c,0.000130051584467216
Rv2379c,0.000130051584467216
Rv2380c,0.000130051584467216
Rv2381c,0.000130051584467216
Rv2382c,0.000130051584467216
Rv2383c,0.000130051584467216
Rv2384,0.000130051584467216
Rv2385,2.1586111597804418e-11
Rv2386c,0.00019522260233082337
Rv2388c,0.07898492815624202
Rv2391,0.00012070370106783577
Rv2392,6.315411466256944e-05
Rv2393,0.07040347653113933
Rv2394,0.00033206878914250035
Rv2397c,0.0001122934024482343
Rv2398c,0.0001122934024482343
Rv2399c,0.0001122934024482343
Rv2400c,0.0001122934024482343
Rv2421c,0.07448530687648602
Rv2427c,2.7097119673007742e-05
Rv2435c,8.105068577493497e-05
Rv2436,1.2205106980921173e-05
Rv2438c,0.07446095089331195
Rv2439c,6.2905129372593005e-06
Rv2443,1.800051749936657e-05
Rv2445c,4.665730424084424e-05
Rv2447c,0.07029986777498594
Rv2453c,1.140973825233056e-09
Rv2454c,7.409882070140043e-06
Rv2455c,7.409882070140043e-06
Rv2458,4.415630769641428e-05
Rv2463,2.1586111597804418e-11
Rv2465c,1.2741771970017826e-05
Rv2467,0.00033206986647621635
Rv2471,1.673306519266822e-05
Rv2476c,2.438926708160669e-07
Rv2482c,0.08337868144424673
Rv2483c,0.08337868144424673
Rv2484c,2.1586111597804418e-11
Rv2485c,2.1586111597804418e-11
Rv2486,0.0002546375805692461
Rv2495c,3.784055685525865e-05
Rv2496c,3.786940119291281e-05
Rv2497c,3.786940119291281e-05
Rv2498c,3.1436622357440257e-06
Rv2500c,0.0002546375805692461
Rv2503c,0.00019523080998672433
Rv2504c,0.00019523080998672433
Rv2505c,0.0002250216512470597
Rv2523c,9.849423749552566e-10
Rv2524c,0.045658666682775836
Rv2531c,0.000114759867849791
Rv2537c,0.00014319100819233045
Rv2538c,0.00014319110110534673
Rv2539c,0.0001720700247466558
Rv2540c,0.0001720700247466558
